iter	Logloss
0	0.6771091398
1	0.6645723543
2	0.6538935478
3	0.6463506322
4	0.6390017141
5	0.6331096673
6	0.6282882143
7	0.6242122337
8	0.6215372267
9	0.6188487488
10	0.6165055815
11	0.6149054211
12	0.6128586387
13	0.6118902811
14	0.6109612119
15	0.6100896025
16	0.6091950274
17	0.608523661
18	0.6077808411
19	0.6073097194
20	0.6068667738
21	0.6064608728
22	0.606027462
23	0.6057139384
24	0.6054143731
25	0.6050662807
26	0.6047459969
27	0.6044156633
28	0.6041684794
29	0.6039356411
30	0.6037083852
31	0.6034773966
32	0.6033901464
33	0.6032511174
34	0.6030953548
35	0.6029729421
36	0.602783151
37	0.6025968448
38	0.6024700588
39	0.6023929375
40	0.6023184125
41	0.6022420796
42	0.6021760588
43	0.6020726642
44	0.6020218743
45	0.6018962012
46	0.6018444032
47	0.6017665322
48	0.6016465095
49	0.6015684043
50	0.601521518
51	0.6014295068
52	0.601400724
53	0.6013590032
54	0.6013079316
55	0.6012473301
56	0.6012027281
57	0.6011771432
58	0.6011240697
59	0.6010804311
60	0.6010372007
61	0.6009916772
62	0.6008741846
63	0.6007937526
64	0.600757574
65	0.6006968519
66	0.6006751464
67	0.6006294438
68	0.6005696689
69	0.6004873881
70	0.6004325606
71	0.6003949379
72	0.6003270011
73	0.6002581096
74	0.6001737177
75	0.600144172
76	0.6000787159
77	0.6000296648
78	0.5999841183
79	0.5999480083
80	0.5999297773
81	0.5998574964
82	0.5997870698
83	0.5997452829
84	0.5996851358
85	0.5996525643
86	0.5996235984
87	0.5996091578
88	0.5995404321
89	0.5995152835
90	0.5994659454
91	0.5994049794
92	0.5993641661
93	0.5992999028
94	0.599283894
95	0.5992512611
96	0.5992130029
97	0.5991472278
98	0.5990848049
99	0.5990272872
100	0.5989678623
101	0.5989397802
102	0.5988805445
103	0.5988584926
104	0.5988256631
105	0.598770431
106	0.5987271349
107	0.5986628477
108	0.5985993886
109	0.5985628701
110	0.5985262476
111	0.5984881035
112	0.5984361559
113	0.5983958613
114	0.5983162433
115	0.5982827448
116	0.5982298744
117	0.5981865338
118	0.5981512914
119	0.5980907888
120	0.5980634934
121	0.5980105964
122	0.5979486212
123	0.5978975157
124	0.5978018976
125	0.5977194061
126	0.59767271
127	0.5976120717
128	0.5975518337
129	0.5974948636
130	0.5974532557
131	0.5974167203
132	0.5973588278
133	0.5972917696
134	0.5972445771
135	0.5972132079
136	0.597129417
137	0.5970766522
138	0.5970108141
139	0.5969687849
140	0.5969110755
141	0.5968660558
142	0.5968057087
143	0.5967401407
144	0.5966609471
145	0.5966185346
146	0.5965699821
147	0.5965231111
148	0.5964568083
149	0.5964226412
150	0.5963588947
151	0.5963202871
152	0.5962616771
153	0.5962246262
154	0.596177012
155	0.5961115564
156	0.5960718074
157	0.5960113187
158	0.5959594125
159	0.595900099
160	0.5958473713
161	0.595809856
162	0.5957580703
163	0.5957129246
164	0.5956845446
165	0.5956267876
166	0.595566477
167	0.5955278886
168	0.5954965122
169	0.595438565
170	0.5953925275
171	0.5953515361
172	0.5952944881
173	0.5952496076
174	0.5952066691
175	0.5951738908
176	0.5951335879
177	0.5951034255
178	0.5950527393
179	0.5950213629
180	0.5949647825
181	0.5949114134
182	0.5948557081
183	0.594813718
184	0.5947429921
185	0.5947091005
186	0.5946502094
187	0.5946168425
188	0.5945567405
189	0.5945217557
190	0.5944803112
191	0.5944477561
192	0.59441765
193	0.5943681465
194	0.5943109234
195	0.5942668721
196	0.5942048419
197	0.5941677819
198	0.5941395551
199	0.5940968909
200	0.5940431799
201	0.5940169804
202	0.5939743572
203	0.593905941
204	0.593865852
205	0.59381878
206	0.5937725119
207	0.593732777
208	0.5936986337
209	0.5936634294
210	0.5936238221
211	0.5935837521
212	0.5935251932
213	0.5934764423
214	0.5934322056
215	0.5934026364
216	0.5933595464
217	0.593295711
218	0.5932491431
219	0.5932072282
220	0.5931766166
221	0.5931356201
222	0.5931023644
223	0.5930733707
224	0.5930259824
225	0.5929835602
226	0.5929377726
227	0.5928849902
228	0.5928466515
229	0.5927883556
230	0.5927591103
231	0.5927070888
232	0.5926643001
233	0.592636488
234	0.5925884668
235	0.5925556087
236	0.5925282757
237	0.5924600766
238	0.5924037944
239	0.592366956
240	0.5923441663
241	0.5923002521
242	0.5922592872
243	0.5921969568
244	0.5921663436
245	0.5921153278
246	0.5920619813
247	0.5920131504
248	0.5919758765
249	0.5919350383
250	0.591890459
251	0.5918267297
252	0.5917989749
253	0.5917554227
254	0.5917095604
255	0.5916638592
256	0.5916253983
257	0.5915904919
258	0.5915624699
259	0.5915075179
260	0.591480061
261	0.5914408084
262	0.5913990286
263	0.5913764899
264	0.5913307154
265	0.5913000017
266	0.5912738614
267	0.5912394787
268	0.5911903359
269	0.5911541934
270	0.5911141053
271	0.591049357
272	0.5910300388
273	0.590988811
274	0.5909637727
275	0.5909443827
276	0.5908993182
277	0.5908654586
278	0.5908277477
279	0.590800146
280	0.5907476658
281	0.590692091
282	0.5906336383
283	0.5905801357
284	0.5905368109
285	0.5904971917
286	0.5904703909
287	0.5904318345
288	0.5903901649
289	0.5903487477
290	0.5902926101
291	0.5902423322
292	0.590227888
293	0.5901691173
294	0.5901198314
295	0.5900551491
296	0.5900199307
297	0.5899799423
298	0.5899087527
299	0.5898806369
300	0.5898469467
301	0.589824166
302	0.5897692759
303	0.5897238343
304	0.5896903341
305	0.5896361949
306	0.5895928039
307	0.5895680973
308	0.5894960471
309	0.589461382
310	0.5894204332
311	0.5893651525
312	0.5893220308
313	0.5892669179
314	0.5892265982
315	0.5891912445
316	0.5891580261
317	0.5891082813
318	0.5890581526
319	0.5890348914
320	0.5889991622
321	0.5889471012
322	0.5889142006
323	0.5888820843
324	0.5888310184
325	0.5887826267
326	0.5887446497
327	0.5887170168
328	0.5886824312
329	0.5886536091
330	0.588614382
331	0.5885740202
332	0.5885414149
333	0.5885162127
334	0.5884709114
335	0.5884389059
336	0.5884046765
337	0.5883568922
338	0.5883280248
339	0.5882830112
340	0.5882591455
341	0.5882196889
342	0.5881868776
343	0.5881068825
344	0.5880848033
345	0.5880611164
346	0.5880134885
347	0.5879509295
348	0.5879068645
349	0.587889689
350	0.5878540294
351	0.5878053431
352	0.5877815872
353	0.5877489219
354	0.5877037451
355	0.5876685155
356	0.5876227792
357	0.5875912094
358	0.587569161
359	0.5875424554
360	0.587505057
361	0.587456453
362	0.5874231276
363	0.587409503
364	0.5873731898
365	0.587334596
366	0.5873068797
367	0.5872694475
368	0.5872467564
369	0.5871991745
370	0.5871620279
371	0.5871386787
372	0.5870926867
373	0.5870602442
374	0.5870133166
375	0.586993205
376	0.5869570098
377	0.5869104884
378	0.5868837417
379	0.5868529068
380	0.5868066683
381	0.5867781604
382	0.5867375482
383	0.5866889689
384	0.5866634345
385	0.5866046616
386	0.5865696995
387	0.5865169724
388	0.5864703271
389	0.5864303351
390	0.5863778707
391	0.5863515009
392	0.5863101465
393	0.5862935271
394	0.5862481407
395	0.5862128445
396	0.5861932975
397	0.5861743578
398	0.5861558183
399	0.5861121426
400	0.5860617135
401	0.5860345265
402	0.5860067658
403	0.5859630584
404	0.5859376357
405	0.5859159454
406	0.5858904257
407	0.5858571322
408	0.5858118755
409	0.5857700087
410	0.5857298194
411	0.5856720142
412	0.5856415802
413	0.5856032933
414	0.5855834138
415	0.5855377732
416	0.5854913012
417	0.5854393597
418	0.5854096186
419	0.5853925224
420	0.5853622817
421	0.5853308764
422	0.5852877686
423	0.5852666593
424	0.5852255441
425	0.5851958563
426	0.5851625774
427	0.5851261576
428	0.5850926596
429	0.5850728231
430	0.5850414645
431	0.5850052003
432	0.5849884226
433	0.5849405425
434	0.5849011108
435	0.5848728293
436	0.5848299541
437	0.584793655
438	0.5847612975
439	0.5847206441
440	0.5847023523
441	0.5846418246
442	0.5846128322
443	0.5845715341
444	0.5845390526
445	0.5844969351
446	0.584480153
447	0.5844501685
448	0.5844270477
449	0.5843888692
450	0.584373724
451	0.5843643914
452	0.5843235024
453	0.5842806079
454	0.5842396327
455	0.584202149
456	0.5841544665
457	0.5841144113
458	0.5840760965
459	0.5840531273
460	0.5840092249
461	0.5839737847
462	0.5839495846
463	0.5839050005
464	0.5838693098
465	0.5838478594
466	0.583799868
467	0.5837559478
468	0.5837244992
469	0.5836986159
470	0.5836724715
471	0.583635878
472	0.583580619
473	0.5835534522
474	0.5835271262
475	0.5835022582
476	0.5834691589
477	0.5834407776
478	0.583425797
479	0.58337934
480	0.5833438944
481	0.5833127929
482	0.5832855307
483	0.5832537772
484	0.583220751
485	0.5831661616
486	0.5831263516
487	0.5830930259
488	0.58305473
489	0.5830217882
490	0.5829847162
491	0.582941621
492	0.5829157121
493	0.58287505
494	0.5828088647
495	0.5827456336
496	0.5827085079
497	0.5826832333
498	0.5826460049
499	0.5826201346
