iter	Passed	Remaining
0	65	32693
1	76	19113
2	87	14525
3	97	12129
4	108	10693
5	118	9746
6	129	9144
7	140	8631
8	150	8226
9	161	7933
10	172	7689
11	183	7461
12	194	7271
13	204	7086
14	215	6955
15	225	6823
16	236	6720
17	248	6665
18	260	6588
19	271	6508
20	282	6453
21	292	6358
22	303	6287
23	313	6209
24	323	6137
25	333	6083
26	344	6033
27	355	5986
28	366	5944
29	376	5898
30	387	5855
31	397	5809
32	408	5780
33	418	5738
34	430	5714
35	440	5681
36	450	5640
37	460	5604
38	471	5569
39	480	5528
40	490	5496
41	500	5459
42	511	5437
43	521	5408
44	532	5382
45	542	5351
46	553	5330
47	566	5330
48	577	5313
49	588	5295
50	598	5268
51	608	5245
52	619	5225
53	630	5211
54	640	5186
55	652	5171
56	662	5147
57	668	5098
58	680	5084
59	691	5070
60	702	5053
61	712	5030
62	723	5016
63	733	4999
64	745	4987
65	755	4970
66	766	4954
67	776	4935
68	787	4918
69	797	4900
70	808	4885
71	820	4878
72	832	4868
73	842	4851
74	853	4838
75	864	4825
76	875	4811
77	886	4795
78	898	4789
79	909	4775
80	920	4762
81	930	4742
82	939	4722
83	949	4702
84	960	4689
85	972	4679
86	982	4666
87	994	4653
88	1005	4641
89	1016	4628
90	1026	4613
91	1037	4601
92	1047	4585
93	1057	4568
94	1068	4553
95	1079	4541
96	1090	4530
97	1100	4514
98	1111	4501
99	1122	4488
100	1133	4476
101	1143	4461
102	1154	4448
103	1165	4436
104	1176	4424
105	1184	4404
106	1196	4393
107	1206	4380
108	1217	4367
109	1227	4353
110	1238	4340
111	1249	4329
112	1260	4316
113	1271	4304
114	1282	4292
115	1292	4277
116	1303	4265
117	1313	4253
118	1324	4240
119	1336	4231
120	1346	4217
121	1356	4204
122	1367	4189
123	1378	4178
124	1388	4164
125	1398	4152
126	1408	4138
127	1419	4126
128	1430	4114
129	1440	4099
130	1450	4086
131	1461	4075
132	1471	4061
133	1481	4047
134	1492	4035
135	1503	4024
136	1514	4013
137	1526	4004
138	1536	3991
139	1547	3978
140	1557	3965
141	1567	3952
142	1578	3941
143	1589	3930
144	1600	3917
145	1610	3904
146	1620	3892
147	1632	3883
148	1643	3870
149	1654	3860
150	1664	3847
151	1675	3835
152	1686	3824
153	1697	3813
154	1708	3801
155	1718	3789
156	1729	3777
157	1739	3764
158	1750	3753
159	1761	3743
160	1772	3731
161	1782	3719
162	1792	3706
163	1802	3693
164	1813	3681
165	1823	3669
166	1834	3658
167	1845	3646
168	1856	3635
169	1866	3623
170	1878	3613
171	1889	3604
172	1902	3595
173	1912	3583
174	1923	3572
175	1934	3560
176	1944	3548
177	1954	3535
178	1965	3524
179	1976	3513
180	1987	3502
181	1997	3490
182	2008	3478
183	2018	3465
184	2028	3454
185	2038	3441
186	2049	3429
187	2059	3417
188	2070	3406
189	2080	3394
190	2091	3383
191	2102	3372
192	2113	3362
193	2125	3352
194	2135	3340
195	2147	3330
196	2156	3317
197	2166	3304
198	2176	3292
199	2187	3280
200	2197	3269
201	2208	3258
202	2219	3247
203	2231	3237
204	2241	3225
205	2252	3214
206	2263	3203
207	2274	3192
208	2284	3180
209	2295	3169
210	2305	3157
211	2316	3146
212	2327	3135
213	2338	3124
214	2348	3113
215	2359	3102
216	2370	3091
217	2380	3079
218	2391	3068
219	2403	3059
220	2415	3048
221	2425	3037
222	2436	3026
223	2446	3014
224	2457	3003
225	2468	2992
226	2479	2982
227	2491	2972
228	2502	2961
229	2513	2950
230	2524	2939
231	2535	2928
232	2546	2917
233	2556	2905
234	2566	2894
235	2576	2882
236	2586	2870
237	2597	2859
238	2607	2847
239	2621	2839
240	2632	2829
241	2643	2818
242	2654	2807
243	2665	2796
244	2676	2785
245	2687	2774
246	2698	2764
247	2710	2753
248	2720	2742
249	2732	2732
250	2743	2721
251	2754	2710
252	2765	2700
253	2777	2689
254	2786	2677
255	2797	2665
256	2808	2655
257	2819	2644
258	2829	2632
259	2840	2622
260	2851	2610
261	2862	2600
262	2873	2589
263	2884	2578
264	2895	2567
265	2906	2556
266	2916	2545
267	2927	2534
268	2939	2523
269	2949	2512
270	2960	2501
271	2972	2491
272	2982	2479
273	2993	2469
274	3003	2457
275	3014	2446
276	3024	2435
277	3035	2424
278	3046	2413
279	3056	2401
280	3068	2391
281	3079	2380
282	3090	2369
283	3101	2358
284	3112	2347
285	3123	2337
286	3134	2326
287	3145	2315
288	3155	2303
289	3165	2292
290	3175	2280
291	3186	2269
292	3196	2258
293	3207	2247
294	3218	2236
295	3228	2224
296	3239	2214
297	3249	2202
298	3260	2191
299	3271	2181
300	3282	2169
301	3293	2159
302	3303	2147
303	3314	2137
304	3325	2126
305	3337	2115
306	3347	2104
307	3357	2093
308	3369	2082
309	3380	2072
310	3392	2061
311	3403	2051
312	3415	2040
313	3425	2029
314	3436	2018
315	3446	2006
316	3457	1995
317	3468	1985
318	3480	1974
319	3490	1963
320	3501	1952
321	3512	1941
322	3522	1930
323	3533	1919
324	3544	1908
325	3555	1897
326	3566	1886
327	3576	1875
328	3587	1864
329	3598	1853
330	3609	1842
331	3621	1832
332	3631	1821
333	3640	1809
334	3651	1798
335	3661	1787
336	3672	1776
337	3682	1764
338	3693	1754
339	3704	1743
340	3714	1732
341	3725	1721
342	3736	1710
343	3747	1699
344	3757	1688
345	3768	1677
346	3779	1666
347	3791	1655
348	3802	1645
349	3811	1633
350	3823	1623
351	3833	1611
352	3843	1600
353	3854	1589
354	3864	1578
355	3875	1567
356	3886	1556
357	3898	1546
358	3908	1535
359	3919	1524
360	3930	1513
361	3941	1502
362	3952	1491
363	3963	1480
364	3974	1470
365	3985	1459
366	3996	1448
367	4007	1437
368	4018	1426
369	4029	1415
370	4041	1405
371	4054	1395
372	4065	1384
373	4076	1373
374	4087	1362
